enabled	group	kind	name	expected_iteration	source	path_in_repo	note
1	g2	megatron	g2_ffn_only_wiki	1800	/home/work/Agent_HJ/30_flame_agent/LLM-continual-learning/.local/weights/a100/mha/wiki-a-moe-g2matched-bf16/g2matched-top4-e8-ffn352-wiki-ffn-moe-mha-a100-bf16-mb128-1800	g2_wiki_code_conversation/sources/ffn_only/wiki	Shared Wiki source for baseline and KD pipeline
1	g2	megatron	g2_ffn_only_baseline_code_task	1800	/home/work/Agent_HJ/30_flame_agent/LLM-continual-learning/.local/weights/a100/mha/g2matched-ffn-moe-attn-freeze-bf16/g2matched-top4-e8to16-ffn352-wiki-to-code-ffn-moe-attn-freeze-mha-a100-bf16-mb96-1800	g2_wiki_code_conversation/baseline/ffn_only/code_task	Code expert task-training final
1	g2	megatron	g2_ffn_only_baseline_code_router_retune	3600	/home/work/Agent_HJ/30_flame_agent/LLM-continual-learning/.local/weights/a100/mha/g2-checkpoints/code/phase3/g2matched-attn-freeze-phase3-router-only-retune-wikicode-no-reinit-mb96-1800	g2_wiki_code_conversation/baseline/ffn_only/code_router_retune	Code router-retune final; global tracker is 3600
1	g2	megatron	g2_ffn_only_baseline_conversation	1800	/home/work/Agent_HJ/30_flame_agent/LLM-continual-learning/.local/weights/a100/mha/g2-checkpoints/conversation/phase4/g2-ffn-only-phase4-conversation-from-router-retuned-e16to24-mb48-1800	g2_wiki_code_conversation/baseline/ffn_only/conversation_task	Conversation expert task-training final
1	g2	megatron	g2_ffn_attn_wiki	1800	/home/work/Agent_HJ/30_flame_agent/LLM-continual-learning/.local/weights/a100/mha/shared-router-granularity-qkvo/wiki/g2-top4-e8-ffn352-r256-wiki-shared-router-qkvo-mha-a100-bf16-mb72-1800	g2_wiki_code_conversation/sources/ffn_attn_shared_router/wiki	Shared-router FFN plus attention Wiki source
1	g2	megatron	g2_ffn_attn_baseline_code_task	1800	/home/work/Agent_HJ/30_flame_agent/LLM-continual-learning/.local/weights/a100/mha/g2-checkpoints/code/phase1/g2-exp2-top4-e8to16-ffn352-r256-wiki-to-code-new-experts-all-router-mha-a100-bf16-mb72-1800	g2_wiki_code_conversation/baseline/ffn_attn_shared_router/code_task	New FFN and attention experts plus all-router training
1	g2	megatron	g2_ffn_attn_baseline_code_router_retune	3600	/home/work/Agent_HJ/30_flame_agent/LLM-continual-learning/.local/weights/a100/mha/g2-checkpoints/code/phase3/g2-exp2-phase3-router-only-retune-wikicode-from-new-experts-all-router-no-reinit-mb72-1800	g2_wiki_code_conversation/baseline/ffn_attn_shared_router/code_router_retune	Router-retune final; global tracker is 3600
1	g2	megatron	g2_ffn_attn_baseline_conversation_freeze_old	1800	/home/work/Agent_HJ/30_flame_agent/LLM-continual-learning/.local/weights/a100/mha/g2-checkpoints/conversation/phase4/g2-exp1-freeze-wiki-phase4-conversation-from-router-retuned-e16to24-mb48-1800	g2_wiki_code_conversation/baseline/ffn_attn_shared_router/conversation_freeze_old	Primary freeze-old Conversation final
1	g2	megatron	g2_ffn_only_kd_code_init	1800	/home/work/Agent_HJ/30_flame_agent/LLM-continual-learning/.local/weights/a100/mha/g2-checkpoints/code/expansion_distill_init/g2-ffn-only-e8to16-code-expert-init-logits-wiki-distill-mha-a100-bf16-mb48-1800	g2_wiki_code_conversation/kd_1phase/ffn_only/code/kd_init	Wiki-logits KD initialization
1	g2	megatron	g2_ffn_only_1phase_code	1800	/home/work/Agent_HJ/30_flame_agent/LLM-continual-learning/.local/weights/a100/mha/g2-checkpoints/code/joint_lm_replay/g2-ffn-only-code-wiki-joint-lm-allrouter-mb64-1800	g2_wiki_code_conversation/kd_1phase/ffn_only/code/one_phase	Code and Wiki one-phase final
